id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
kaia,0.112407,658757707,-2.12551,0.116379,0.111675,0.406698,0.090737,05-05-2025 22-57-14
solayer,3.02,653495559,-5.03848,3.39,3.02,3.39,0.599884,05-05-2025 22-57-14
usual-usd,0.998049,647816441,0.0113,0.999482,0.997774,1.33,0.962885,05-05-2025 22-57-14
usdx-money-usdx,0.998362,625782457,0.0568,1.003,0.992935,1.057,0.944423,05-05-2025 22-57-14
pancakeswap-token,1.94,615443948,-0.57926,1.95,1.92,43.96,0.194441,05-05-2025 22-57-14
ondo-us-dollar-yield,1.11,597740492,0.52555,1.12,1.098,1.26,0.934184,05-05-2025 22-57-14
flow,0.369331,583703763,-0.92417,0.374965,0.36706,42.4,0.303987,05-05-2025 22-57-14
ethereum-name-service,17.59,583302706,-7.66546,19.06,17.37,83.4,6.69,05-05-2025 22-57-14
zcash,35.97,576593356,3.3848,36.34,34.47,3191.93,16.08,05-05-2025 22-57-14
renzo-restaked-eth,1888.83,576172777,-1.42709,1925.1,1873.01,4207.05,1454.43,05-05-2025 22-57-14
tezos,0.534236,557433846,-3.22112,0.552017,0.530903,9.12,0.350476,05-05-2025 22-57-14
sonic-bridged-usdc-e-sonic,0.999908,551837177,-0.00894,1.001,0.997736,1.046,0.949963,05-05-2025 22-57-14
decentraland,0.290046,541708888,-1.23485,0.299842,0.287947,5.85,0.00923681,05-05-2025 22-57-14
dogwifcoin,0.540557,539976222,-3.11189,0.565469,0.537249,4.83,0.00155464,05-05-2025 22-57-14
chain-2,0.01607823,539453279,-7.04371,0.01740417,0.01608383,0.184139,0.0007055,05-05-2025 22-57-14
based-brett,0.054039,537726306,-3.10998,0.056665,0.052981,0.234204,0.00084753,05-05-2025 22-57-14
jito-governance-token,1.59,516488262,-1.64254,1.63,1.58,6.01,1.43,05-05-2025 22-57-14
pendle,3.17,514953664,-0.92861,3.27,3.17,7.5,0.03377729,05-05-2025 22-57-14
aerodrome-finance,0.619593,501013816,-2.96325,0.648818,0.61958,2.32,1.861e-05,05-05-2025 22-57-14
telcoin,0.00544602,499848461,-3.4942,0.00570336,0.00538986,0.064483,6.474e-05,05-05-2025 22-57-14
reserve-rights-token,0.00872839,496566940,0.6059,0.00890507,0.0084844,0.117424,0.00121354,05-05-2025 22-57-14
true-usd,0.998301,494670358,-0.02956,0.999953,0.997783,1.62,0.88355,05-05-2025 22-57-14
pyth-network,0.135587,491506413,-3.05892,0.139865,0.13456,1.2,0.10565,05-05-2025 22-57-14
ubtc,95485.0,486873828,-1.77819,192764.0,93075.0,192764.0,74362.0,05-05-2025 22-57-14
beldex,0.067821,484763720,3.33168,0.067829,0.06407,0.450785,0.00027519,05-05-2025 22-57-14
deep,0.191757,479982074,3.10111,0.196251,0.176848,0.341085,0.01073218,05-05-2025 22-57-14
stakewise-v3-oseth,1888.23,479531252,-1.32739,1921.41,1869.39,4228.59,1459.73,05-05-2025 22-57-14
spx6900,0.513655,478229208,-2.17579,0.533797,0.500642,1.72,0.00131808,05-05-2025 22-57-14
bitcoin-avalanche-bridged-btc-b,94097.0,475000538,-1.51358,95733.0,93746.0,108820.0,7806.11,05-05-2025 22-57-14
kava,0.431052,466815889,3.16212,0.463693,0.415161,9.12,0.247359,05-05-2025 22-57-14
bridged-usdc-polygon-pos-bridge,0.999908,465843523,0.00138,1.0,0.999881,1.028,0.975633,05-05-2025 22-57-14
ousg,110.92,461471170,0.0,110.92,110.92,110.92,95.09,05-05-2025 22-57-14
arweave,6.94,454811122,-4.06224,7.41,6.94,89.24,0.298788,05-05-2025 22-57-14
aioz-network,0.386078,453742449,-3.40246,0.40558,0.382987,2.65,0.01099588,05-05-2025 22-57-14
pumpbtc,92276.0,453311640,-1.17273,93718.0,88530.0,107240.0,48890.0,05-05-2025 22-57-14
dydx-chain,0.583229,451538902,-2.52044,0.598309,0.57833,4.52,0.495631,05-05-2025 22-57-14
tbtc,94083.0,438946995,-1.10853,95690.0,93533.0,108501.0,10104.3,05-05-2025 22-57-14
binance-peg-dogecoin,0.170561,438454867,-2.12777,0.174317,0.169378,0.480585,0.04955727,05-05-2025 22-57-14
thorchain,1.24,437899396,-4.80283,1.31,1.23,20.87,0.00851264,05-05-2025 22-57-14
elrond-erd-2,15.43,435687359,-1.81244,16.02,15.44,545.64,6.51,05-05-2025 22-57-14
ecash,2.109e-05,418895926,-0.82677,2.167e-05,2.102e-05,0.00038001,1.604e-05,05-05-2025 22-57-14
apenft,4.19497e-07,415335317,0.3768,4.20642e-07,4.15506e-07,7.53e-06,2.98737e-07,05-05-2025 22-57-14
movement,0.16611,415083226,-4.2802,0.17714,0.164638,1.45,0.164638,05-05-2025 22-57-14
hashnote-usyc,1.085,407257710,0.01061,1.085,1.084,1.12,1.026,05-05-2025 22-57-14
starknet,0.130642,406988690,-5.2032,0.137887,0.129609,4.41,0.11,05-05-2025 22-57-14
l2-standard-bridged-weth-base,1802.18,406970889,-1.61042,1839.71,1786.82,4096.05,1394.17,05-05-2025 22-57-14
usdb,0.998741,405683845,-0.0868,1.003,0.990934,1.088,0.882623,05-05-2025 22-57-14
akash-network,1.62,401680254,12.09108,1.67,1.41,8.07,0.164994,05-05-2025 22-57-14
neo,5.63,397283486,-1.69828,5.77,5.57,198.38,0.078349,05-05-2025 22-57-14
beam-2,0.0074587,390915404,1.75425,0.00766006,0.00720919,0.04416304,0.0043383,05-05-2025 22-57-14
apecoin,0.488682,390754512,-1.65639,0.501481,0.482786,26.7,0.354833,05-05-2025 22-57-14
super-oeth,1802.44,390088167,-1.62763,1839.89,1785.43,4099.87,1312.97,05-05-2025 22-57-14
mantle-restaked-eth,1922.64,386378747,-1.38794,1960.35,1902.25,4298.87,1480.7,05-05-2025 22-57-14
grass,1.38,380383529,-6.46633,1.48,1.37,3.89,0.654959,05-05-2025 22-57-14
chiliz,0.03898474,373485085,-1.10567,0.039736,0.03875402,0.878633,0.00410887,05-05-2025 22-57-14
matic-network,0.22768,373019041,-1.11713,0.234702,0.227166,2.92,0.00314376,05-05-2025 22-57-14
axie-infinity,2.31,372888269,-1.81315,2.36,2.31,164.9,0.123718,05-05-2025 22-57-14
arbitrum-bridged-weth-arbitrum-one,1803.74,371842739,-1.59336,1840.1,1787.96,4097.16,1395.31,05-05-2025 22-57-14
mantra-dao,0.387081,371367789,-7.25145,0.417635,0.385618,8.99,0.01726188,05-05-2025 22-57-14
turbo,0.00535453,369330859,4.50841,0.00573565,0.00511808,0.01431669,6.518e-05,05-05-2025 22-57-14
conflux-token,0.071767,368436249,-1.56732,0.073342,0.071352,1.7,0.02199898,05-05-2025 22-57-14
popcat,0.365551,358231132,0.90995,0.38358,0.349766,2.05,0.00379728,05-05-2025 22-57-14
ether-fi-staked-eth,1803.17,356025731,-1.50312,1837.73,1787.73,5307.23,1394.71,05-05-2025 22-57-14
morpho,1.35,355193694,-0.09474,1.38,1.33,4.17,0.713151,05-05-2025 22-57-14
mimblewimblecoin,32.19,353447237,-0.60251,33.15,32.12,38.81,0.298733,05-05-2025 22-57-14
olympus,21.64,353203311,-1.41676,21.99,21.6,1415.26,7.54,05-05-2025 22-57-14
compound-governance-token,39.3,353026761,-1.60925,40.15,39.18,910.54,25.74,05-05-2025 22-57-14
mantle-bridged-usdt-mantle,1.0,352479327,-0.04803,1.005,0.996011,1.26,0.869914,05-05-2025 22-57-14
wormhole,0.076784,351183995,-3.6013,0.080393,0.07678,1.66,0.065244,05-05-2025 22-57-14
just,0.03524831,349109110,-1.82038,0.03593176,0.03519953,0.193254,0.00476275,05-05-2025 22-57-14
plume,0.172623,348570344,-2.22047,0.179932,0.171354,0.247537,0.084391,05-05-2025 22-57-14
sun-token,0.01803391,347073287,0.59591,0.01818815,0.01786973,66.45,0.00462303,05-05-2025 22-57-14
saros-finance,0.132109,346788785,-0.0883,0.132232,0.131361,0.167611,0.00101093,05-05-2025 22-57-14
berachain-bera,2.9,345734003,-0.31591,2.97,2.82,14.83,2.82,05-05-2025 22-57-14
amp-token,0.00405094,341184001,1.9955,0.00413771,0.0039463,0.120813,0.00140933,05-05-2025 22-57-14
axelar,0.357228,337875190,-0.00024,0.361672,0.347638,2.64,0.274681,05-05-2025 22-57-14
cgeth-hashkey-cloud,1849.3,329781026,-1.52008,1879.56,1833.56,3129.19,1430.7,05-05-2025 22-57-14
usdd,1.0,329753607,0.02956,1.001,0.999717,1.052,0.928067,05-05-2025 22-57-14
ronin,0.515478,326429886,-4.26757,0.539839,0.515137,4.45,0.196601,05-05-2025 22-57-14
trust-wallet-token,0.778201,324540299,-0.86676,0.787003,0.768773,2.72,0.00277641,05-05-2025 22-57-14
binance-peg-busd,1.001,323252854,0.36397,1.004,0.994315,1.064,0.954278,05-05-2025 22-57-14
terra-luna,5.919e-05,322066163,0.17154,6e-05,5.815e-05,119.18,9.99967e-07,05-05-2025 22-57-14
frax,1.0,317363536,0.01022,1.001,0.997473,1.14,0.874536,05-05-2025 22-57-14
ripple-usd,0.999747,316889786,-0.06327,1.003,0.997953,1.073,0.962292,05-05-2025 22-57-14
cheems-token,1.51e-06,308487886,-0.57132,1.57e-06,1.51e-06,2.16e-06,5.725e-09,05-05-2025 22-57-14
creditcoin-2,0.67606,304009064,0.37567,0.682666,0.660467,8.67,0.128298,05-05-2025 22-57-14
superfarm,0.671921,303806936,-2.58949,0.698646,0.665573,4.74,0.070397,05-05-2025 22-57-14
polygon-bridged-wbtc-polygon-pos,94177.0,301788089,-1.27845,96701.0,93914.0,108124.0,49937.0,05-05-2025 22-57-14
ket,0.294031,294736297,-1.25488,0.302945,0.282237,0.530549,0.0085598,05-05-2025 22-57-14
ai16z,0.266549,293512979,3.14538,0.281366,0.25081,2.47,0.010189,05-05-2025 22-57-14
wrapped-hype,20.14,291018901,-3.94366,20.97,19.77,25.53,9.43,05-05-2025 22-57-14
stakestone-berachain-vault-token,1796.77,289672421,-1.67245,1832.39,1783.07,3453.2,1373.59,05-05-2025 22-57-14
gnosis,109.21,282875245,-1.01039,110.81,109.06,644.2,6.88,05-05-2025 22-57-14
quorium,3318.77,278776882,2.39112,3343.56,3192.2,14721.58,1170.65,05-05-2025 22-57-14
layerzero,2.47,275295532,-0.01702,2.55,2.43,7.47,1.51,05-05-2025 22-57-14
dog-go-to-the-moon-rune,0.00273228,274128873,-0.5929,0.00283249,0.00268611,0.0099237,0.00100496,05-05-2025 22-57-14
mina-protocol,0.222713,274064864,0.21762,0.228726,0.219474,9.09,0.18424,05-05-2025 22-57-14
ether-fi-staked-btc,94120.0,273532477,-1.61816,95732.0,93061.0,109069.0,58795.0,05-05-2025 22-57-14
wrapped-avax,19.54,273163058,-3.05934,20.22,19.44,2000.68,7.91,05-05-2025 22-57-14
venom,0.131704,272781688,-1.43552,0.135112,0.131365,0.782403,0.03459851,05-05-2025 22-57-14
resolv-usr,0.999945,271653292,0.11772,1.0,0.998386,1.022,0.959194,05-05-2025 22-57-14
dash,21.71,265994572,-1.09426,22.12,21.73,1493.59,0.213899,05-05-2025 22-57-14
1inch,0.190932,264861276,-2.86822,0.196823,0.191016,8.65,0.149574,05-05-2025 22-57-14
mx-token,2.81,264535208,-0.39773,2.82,2.8,5.85,0.04218457,05-05-2025 22-57-14
stader-ethx,1909.08,262210450,-1.51124,1943.56,1893.6,4275.3,1474.49,05-05-2025 22-57-14
golem,0.260283,260582632,-1.28481,0.266619,0.25828,1.32,0.00913753,05-05-2025 22-57-14
safe,0.446029,259624299,0.11135,0.460468,0.438728,3.56,0.356678,05-05-2025 22-57-14
safepal,0.517547,258807227,-0.75343,0.529342,0.512673,4.19,0.269235,05-05-2025 22-57-14
syrupusdc,1.097,257345036,-0.10035,1.098,1.097,1.099,1.07,05-05-2025 22-57-14
honey-3,0.999385,249573468,-0.01215,1.0,0.996394,1.11,0.916153,05-05-2025 22-57-14
aethir,0.02936671,249158704,-1.96051,0.03012308,0.02873417,0.118536,0.02439678,05-05-2025 22-57-14
theta-fuel,0.03559315,246623439,-1.86542,0.03640767,0.03542275,0.68159,0.00090804,05-05-2025 22-57-14
compound-wrapped-btc,1894.23,244526019,-1.22284,1922.67,1882.68,2187.46,91.15,05-05-2025 22-57-14
coinbase-wrapped-staked-eth,1979.64,244474324,-1.55553,2018.98,1963.04,4434.57,1036.96,05-05-2025 22-57-14
btse-token,1.5,243231548,3.01999,1.51,1.45,9.21,0.369569,05-05-2025 22-57-14
gho,0.999531,243012293,-0.00365,0.999763,0.999087,1.03,0.917065,05-05-2025 22-57-14
global-dollar,0.999864,242508401,-0.00221,1.002,0.998044,1.65,0.907561,05-05-2025 22-57-14
convex-finance,2.92,239783106,-3.55996,3.03,2.89,60.09,1.44,05-05-2025 22-57-14
kusama,14.49,238735252,-1.00753,14.77,14.44,621.71,0.876572,05-05-2025 22-57-14
sweth,1966.11,238634120,-1.47176,2003.38,1947.87,4395.57,1516.13,05-05-2025 22-57-14
cat-in-a-dogs-world,0.00266646,237393681,-1.70041,0.00275796,0.00264889,0.01288153,0.00091206,05-05-2025 22-57-14
abtc,94049.0,236874426,-1.55256,95812.0,93446.0,108378.0,60786.0,05-05-2025 22-57-14
polygon-pos-bridged-weth-polygon-pos,1803.34,234979760,-1.53113,1838.64,1794.63,4090.99,1390.73,05-05-2025 22-57-14
euro-coin,1.14,234628210,0.5537,1.14,1.13,1.35,0.052848,05-05-2025 22-57-14
snek,0.00309273,230434465,-7.01475,0.00334508,0.00308135,0.00895508,0.00013847,05-05-2025 22-57-14
zilliqa,0.01180751,230172902,-2.28853,0.01214861,0.01179009,0.255376,0.00239616,05-05-2025 22-57-14
