id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
apenft,4.18316e-07,414174367,0.07767,7.53e-06,2.98737e-07,05-05-2025  18-31-50
hashnote-usyc,1.085,407257710,4e-05,1.12,1.026,05-05-2025  18-31-50
usdb,1.001,406484006,0.06488,1.088,0.882623,05-05-2025  18-31-50
neo,5.71,403018192,-0.87707,198.38,0.078349,05-05-2025  18-31-50
apecoin,0.497111,397480210,-0.26786,26.7,0.354833,05-05-2025  18-31-50
super-oeth,1826.33,394901262,-0.48532,4099.87,1312.97,05-05-2025  18-31-50
beam-2,0.00750881,393630846,4.17691,0.04416304,0.0043383,05-05-2025  18-31-50
akash-network,1.56,392807746,8.83,8.07,0.164994,05-05-2025  18-31-50
grass,1.42,391965530,-4.45395,3.89,0.654959,05-05-2025  18-31-50
mantle-restaked-eth,1943.88,391195345,-0.47604,4298.87,1480.7,05-05-2025  18-31-50
matic-network,0.233976,383284133,1.74003,2.92,0.00314376,05-05-2025  18-31-50
axie-infinity,2.36,380169486,-0.56104,164.9,0.123718,05-05-2025  18-31-50
mantra-dao,0.39448,378883463,-5.3857,8.99,0.01726188,05-05-2025  18-31-50
chiliz,0.03957231,378852318,-0.26543,0.878633,0.00410887,05-05-2025  18-31-50
turbo,0.00546809,377302607,13.68137,0.01431669,6.518e-05,05-05-2025  18-31-50
arbitrum-bridged-weth-arbitrum-one,1826.94,376334119,-0.45162,4097.16,1395.31,05-05-2025  18-31-50
popcat,0.381337,374095116,5.55425,2.05,0.00379728,05-05-2025  18-31-50
conflux-token,0.072731,373513939,-0.78725,1.7,0.02199898,05-05-2025  18-31-50
morpho,1.38,364975315,3.77078,4.17,0.713151,05-05-2025  18-31-50
wormhole,0.079655,363716838,0.60948,1.66,0.065244,05-05-2025  18-31-50
ether-fi-staked-eth,1823.73,362563683,-0.66804,5307.23,1394.71,05-05-2025  18-31-50
compound-governance-token,40.01,359173935,0.78834,910.54,25.74,05-05-2025  18-31-50
mimblewimblecoin,32.44,356223668,0.60091,38.81,0.298733,05-05-2025  18-31-50
olympus,21.74,355946102,-1.03868,1415.26,7.54,05-05-2025  18-31-50
berachain-bera,2.96,354077305,-0.64191,14.83,2.82,05-05-2025  18-31-50
just,0.03559703,352459321,-1.45371,0.193254,0.00476275,05-05-2025  18-31-50
mantle-bridged-usdt-mantle,0.999693,351962722,-0.06928,1.26,0.869914,05-05-2025  18-31-50
plume,0.175024,350283517,1.02404,0.247537,0.084391,05-05-2025  18-31-50
sun-token,0.01802592,346832509,0.10427,66.45,0.00462303,05-05-2025  18-31-50
saros-finance,0.13142,344979976,-0.76386,0.167611,0.00101093,05-05-2025  18-31-50
amp-token,0.0040524,341256478,2.20832,0.120813,0.00140933,05-05-2025  18-31-50
axelar,0.357155,337055400,-1.41199,2.64,0.274681,05-05-2025  18-31-50
